iter,learning_rate,min_data_in_leaf,max_depth,lambda_l2,max_bin,bagging_fraction,feature_fraction,num_leaves,val_score,test_score,test_log_loss,test_f1_score,test_rmse,current_best_test_score,current_best_test_log_loss,current_best_test_f1_score,current_best_test_rmse,try_num_leaves,joint_tuning_depth_leaves,fold,method,task_id,classification
0,0.7395841263488222,259,5,87.53773900688192,818,0.603911375078521,0.89830641078463,569,0.2561005084230471,0.7556453803563979,,,0.2612378282384464,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
1,0.45225525123838567,88,9,88.7009146852647,2450,0.9841481784006868,0.5364050834926589,433,0.30418557705173344,0.6550038137528923,,,0.3104080208473178,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
2,0.2748478094189677,214,9,19.63499174391126,4142,0.6136055247452487,0.9960503733660111,1020,0.3416169085255574,0.5603864780557509,,,0.35039775002581147,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
3,0.40541372842254064,785,9,69.57683170294864,1620,0.5341471832780158,0.6740645634921295,529,0.3317786382148878,0.5958603459083279,,,0.3359630539258282,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
4,0.25528801938070367,97,6,86.05785387456206,8681,0.8435430055877237,0.8952809299078583,848,0.37619729575909394,0.47039678659213735,,,0.38459275035096,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
5,0.038734182476953434,583,3,12.13635561567207,2692,0.8649001767972007,0.8756097946250994,15,0.49302278971966895,0.08664583444847929,,,0.5050628145323623,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
6,0.210748888058072,940,6,2.028809651015096,9689,0.5482951379500457,0.9088447498815281,318,0.3961329628617982,0.4134546711267256,,,0.40474041990887855,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
7,0.9613234675020033,582,5,72.30384222901853,1722,0.502497513941042,0.5899121100133422,668,0.26297778606590405,0.7335953867353655,,,0.2727700342509329,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
8,0.9032531757638608,793,5,44.896704438426795,5412,0.670301564251173,0.8086722414384904,653,0.26582579318328226,0.7301007798205301,,,0.2745532585612232,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
9,0.35312147694721713,952,4,30.344216796397998,6938,0.5358996367208719,0.9362107793674741,160,0.3466165278390751,0.5617795309917115,,,0.3498421370882788,0.7556453803563979,,,0.2612378282384464,False,True,4,gp_bo,361102,0
